Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
97,AdjacencyList,10,2,0.2500,0.0444,1614030097,V9,273,740,556.5000,5,false,0.0132
98,AdjacencyList,10,6,0.2500,0.1333,4269082558,V9,87,1120,657.4444,0,false,0.0213
99,AdjacencyList,10,4,0.2500,0.0889,2629242023,V9,24,1374,640.8750,1,false,0.0180
100,AdjacencyList,10,2,0.2500,0.0444,989348588,V9,804,1118,888.7500,5,false,0.0134
1,AdjacencyList,10,8,0.5000,0.1778,195421505,V9,474,963,818.0000,0,false,0.0322
2,AdjacencyList,10,12,0.5000,0.2667,2850568866,V9,634,1346,957.5556,0,false,0.0380
3,AdjacencyList,10,14,0.5000,0.3111,1210798831,V9,36,727,368.1111,0,false,0.0416
4,AdjacencyList,10,12,0.5000,0.2667,3865951892,V9,121,875,474.0000,0,false,0.0454
5,AdjacencyList,10,9,0.5000,0.2000,2226115557,V9,538,1641,1128.4444,0,false,0.0368
6,AdjacencyList,10,9,0.5000,0.2000,586234922,V9,217,1863,1063.3333,0,false,0.0337
7,AdjacencyList,10,10,0.5000,0.2222,3241314683,V9,93,817,539.7778,0,false,0.0394
8,AdjacencyList,10,9,0.5000,0.2000,1601480548,V9,185,1196,830.5556,0,false,0.0366
9,AdjacencyList,10,12,0.5000,0.2667,4256567709,V9,63,1102,398.6667,0,false,0.0389
10,AdjacencyList,10,7,0.5000,0.1556,2616695374,V9,819,2110,1331.2222,0,false,0.0303
11,AdjacencyList,10,12,0.5000,0.2667,976971639,V9,96,381,185.3333,0,false,0.0318
12,AdjacencyList,10,13,0.5000,0.2889,3632129200,V9,364,1366,598.8889,0,false,0.0468
13,AdjacencyList,10,10,0.5000,0.2222,1992273465,V9,244,1086,703.4444,0,false,0.0379
14,AdjacencyList,10,13,0.5000,0.2889,352401230,V9,98,674,359.2222,0,false,0.0544
15,AdjacencyList,10,8,0.5000,0.1778,3007516191,V9,169,706,483.0000,0,false,0.0339
16,AdjacencyList,10,10,0.5000,0.2222,1367624856,V9,418,1341,710.0000,0,false,0.0284
17,AdjacencyList,10,10,0.5000,0.2222,4022711217,V9,146,907,426.5556,0,false,0.0325
18,AdjacencyList,10,12,0.5000,0.2667,2382828782,V9,168,691,468.4444,0,false,0.0451
19,AdjacencyList,10,10,0.5000,0.2222,743130547,V9,509,1347,941.8889,0,false,0.0343
20,AdjacencyList,10,13,0.5000,0.2889,3398290508,V9,73,559,310.2222,0,false,0.0395
21,AdjacencyList,10,10,0.5000,0.2222,1758590173,V9,202,1115,574.7778,0,false,0.0343
22,AdjacencyList,10,11,0.5000,0.2444,118902338,V9,104,892,546.2222,0,false,0.0293
23,AdjacencyList,10,8,0.5000,0.1778,2774144199,V9,185,1160,574.6667,0,false,0.0349
24,AdjacencyList,10,10,0.5000,0.2222,1134366064,V9,693,1958,1224.0000,0,false,0.0383
25,AdjacencyList,10,12,0.5000,0.2667,3789517425,V9,852,1596,1110.3333,0,false,0.0369
26,AdjacencyList,10,10,0.5000,0.2222,2149850790,V9,287,941,555.6667,0,false,0.0340
27,AdjacencyList,10,11,0.5000,0.2444,510006955,V9,200,1049,538.0000,0,false,0.0429
28,AdjacencyList,10,11,0.5000,0.2444,3165140216,V9,82,1147,712.2222,0,false,0.0350
29,AdjacencyList,10,9,0.5000,0.2000,1525264981,V9,64,1139,520.2222,0,false,0.0310
30,AdjacencyList,10,12,0.5000,0.2667,4180852342,V9,154,791,409.1111,0,false,0.0414
31,AdjacencyList,10,10,0.5000,0.2222,2541200507,V9,68,684,315.1111,0,false,0.0358
32,AdjacencyList,10,12,0.5000,0.2667,901481472,V9,269,1126,466.3333,0,false,0.0464
33,AdjacencyList,10,12,0.5000,0.2667,3557015933,V9,7,616,329.7778,0,false,0.0471
34,AdjacencyList,10,9,0.5000,0.2000,1917520798,V9,327,1529,912.8889,0,false,0.0264
35,AdjacencyList,10,7,0.5000,0.1556,277966063,V9,198,1099,563.8889,0,false,0.0261
36,AdjacencyList,10,11,0.5000,0.2444,2933135624,V9,214,601,436.3333,0,false,0.0431
37,AdjacencyList,10,12,0.5000,0.2667,1293453389,V9,138,971,457.4444,0,false,0.0382
38,AdjacencyList,10,10,0.5000,0.2222,3948957650,V9,48,791,449.1111,0,false,0.0371
