Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
60,AdjacencyMatrix,10,22,0.5000,0.4889,376139192,V9,37,580,240.2222,0,false,0.0354
61,AdjacencyMatrix,10,23,0.5000,0.5111,3031285953,V9,43,793,294.3333,0,false,0.0361
62,AdjacencyMatrix,10,24,0.5000,0.5333,1391436518,V9,15,950,635.5556,0,false,0.0377
63,AdjacencyMatrix,10,24,0.5000,0.5333,4046552379,V9,305,1027,668.2222,0,false,0.0378
64,AdjacencyMatrix,10,21,0.5000,0.4667,2406749744,V9,450,1322,959.3333,0,false,0.0339
65,AdjacencyMatrix,10,19,0.5000,0.4222,766886309,V9,471,942,720.7778,0,false,0.0314
66,AdjacencyMatrix,10,22,0.5000,0.4889,3422161670,V9,399,980,580.7778,0,false,0.0437
67,AdjacencyMatrix,10,20,0.5000,0.4444,1782588735,V9,584,1229,991.4444,0,false,0.0462
68,AdjacencyMatrix,10,26,0.5000,0.5778,143021200,V9,274,740,515.3333,0,false,0.0478
69,AdjacencyMatrix,10,23,0.5000,0.5111,2798165961,V9,121,1063,598.7778,0,false,0.0490
70,AdjacencyMatrix,10,24,0.5000,0.5333,1158325926,V9,54,779,396.5556,0,false,0.0374
71,AdjacencyMatrix,10,23,0.5000,0.5111,3813437987,V9,146,737,394.4444,0,false,0.0305
72,AdjacencyMatrix,10,22,0.5000,0.4889,2173590652,V9,102,712,413.1111,0,false,0.0409
73,AdjacencyMatrix,10,19,0.5000,0.4222,533740617,V9,92,620,355.2222,0,false,0.0310
74,AdjacencyMatrix,10,23,0.5000,0.5111,3188839578,V9,656,922,817.3333,0,false,0.0431
75,AdjacencyMatrix,10,24,0.5000,0.5333,1549151243,V9,206,936,601.0000,0,false,0.0546
76,AdjacencyMatrix,10,19,0.5000,0.4222,4204688904,V9,619,1702,1056.3333,0,false,0.0379
77,AdjacencyMatrix,10,23,0.5000,0.5111,2564968969,V9,239,738,518.0000,0,false,0.0364
78,AdjacencyMatrix,10,28,0.5000,0.6222,925147634,V9,133,659,415.7778,0,false,0.0496
79,AdjacencyMatrix,10,22,0.5000,0.4889,3580313395,V9,56,702,375.1111,0,false,0.0349
80,AdjacencyMatrix,10,28,0.5000,0.6222,1940449760,V9,508,999,688.6667,0,false,0.0424
81,AdjacencyMatrix,10,24,0.5000,0.5333,300600425,V9,99,692,449.5556,0,false,0.0379
82,AdjacencyMatrix,10,22,0.5000,0.4889,2955732986,V9,177,956,737.6667,0,false,0.0414
83,AdjacencyMatrix,10,21,0.5000,0.4667,1315874751,V9,144,1295,596.0000,0,false,0.0338
84,AdjacencyMatrix,10,22,0.5000,0.4889,3971129712,V9,66,948,494.8889,0,false,0.0360
85,AdjacencyMatrix,10,22,0.5000,0.4889,2331582877,V9,184,969,538.1111,0,false,0.0369
86,AdjacencyMatrix,10,25,0.5000,0.5556,691944742,V9,249,989,499.4444,0,false,0.0394
87,AdjacencyMatrix,10,18,0.5000,0.4000,3347106103,V9,128,1409,442.3333,0,false,0.0312
88,AdjacencyMatrix,10,23,0.5000,0.5111,1707454868,V9,139,1061,468.6667,0,false,0.0394
89,AdjacencyMatrix,10,18,0.5000,0.4000,67741833,V9,152,1049,498.1111,0,false,0.0324
90,AdjacencyMatrix,10,20,0.5000,0.4444,2722889494,V9,275,1224,718.7778,0,false,0.0336
91,AdjacencyMatrix,10,22,0.5000,0.4889,1083070259,V9,457,1054,698.3333,0,false,0.0420
92,AdjacencyMatrix,10,21,0.5000,0.4667,3738218920,V9,294,1269,619.3333,0,false,0.0403
93,AdjacencyMatrix,10,21,0.5000,0.4667,2098676185,V9,127,712,412.8889,0,false,0.0414
94,AdjacencyMatrix,10,25,0.5000,0.5556,459118450,V9,138,1080,539.0000,0,false,0.0331
95,AdjacencyMatrix,10,21,0.5000,0.4667,3114330511,V9,506,1154,750.8889,0,false,0.0344
96,AdjacencyMatrix,10,24,0.5000,0.5333,1474489976,V9,20,669,372.4444,0,false,0.0309
97,AdjacencyMatrix,10,19,0.5000,0.4222,4129595037,V9,9,981,387.0000,0,false,0.0304
98,AdjacencyMatrix,10,23,0.5000,0.5111,2489739302,V9,6,1365,669.5556,0,false,0.0365
99,AdjacencyMatrix,10,22,0.5000,0.4889,849875467,V9,3,703,412.2222,0,false,0.0347
100,AdjacencyMatrix,10,20,0.5000,0.4444,3504973128,V9,77,906,308.6667,0,false,0.0328
1,AdjacencyMatrix,10,36,0.7500,0.8000,2710760045,V9,17,764,451.2222,0,false,0.1202
2,AdjacencyMatrix,10,37,0.7500,0.8222,1071228410,V9,81,489,260.5556,0,false,0.0447
3,AdjacencyMatrix,10,36,0.7500,0.8000,3726480671,V9,204,467,334.8889,0,false,0.0429
4,AdjacencyMatrix,10,35,0.7500,0.7778,2086642336,V9,20,531,260.2222,0,false,0.0609
5,AdjacencyMatrix,10,33,0.7500,0.7333,446839901,V9,353,827,514.0000,0,false,0.0492
6,AdjacencyMatrix,10,37,0.7500,0.8222,3101973662,V9,218,606,400.1111,0,false,0.0435
7,AdjacencyMatrix,10,28,0.7500,0.6222,1462133327,V9,12,341,201.3333,0,false,0.0420
8,AdjacencyMatrix,10,37,0.7500,0.8222,4117303988,V9,200,477,369.7778,0,false,0.0440
9,AdjacencyMatrix,10,37,0.7500,0.8222,2477535053,V9,87,652,251.1111,0,false,0.0649
10,AdjacencyMatrix,10,34,0.7500,0.7556,838136918,V9,13,752,276.4444,0,false,0.0715
11,AdjacencyMatrix,10,31,0.7500,0.6889,3493448079,V9,362,655,530.0000,0,false,0.0559
12,AdjacencyMatrix,10,34,0.7500,0.7556,1853664644,V9,343,825,538.2222,0,false,0.0612
13,AdjacencyMatrix,10,32,0.7500,0.7111,213841809,V9,24,577,219.7778,0,false,0.0470
14,AdjacencyMatrix,10,30,0.7500,0.6667,2868968770,V9,14,487,193.0000,0,false,0.0526
15,AdjacencyMatrix,10,33,0.7500,0.7333,1229134435,V9,67,309,198.2222,0,false,0.0492
16,AdjacencyMatrix,10,35,0.7500,0.7778,3884307896,V9,3,411,192.7778,0,false,0.0570
17,AdjacencyMatrix,10,34,0.7500,0.7556,2244480561,V9,199,526,388.3333,0,false,0.0592
18,AdjacencyMatrix,10,37,0.7500,0.8222,604827326,V9,112,691,442.8889,0,false,0.0672
19,AdjacencyMatrix,10,41,0.7500,0.9111,3260435987,V9,203,435,328.6667,0,false,0.0610
20,AdjacencyMatrix,10,34,0.7500,0.7556,1620786652,V9,234,824,487.5556,0,false,0.0524
21,AdjacencyMatrix,10,36,0.7500,0.8000,4275928413,V9,20,516,265.7778,0,false,0.0636
22,AdjacencyMatrix,10,28,0.7500,0.6222,2636125078,V9,64,551,309.2222,0,false,0.0427
23,AdjacencyMatrix,10,34,0.7500,0.7556,996284943,V9,54,765,407.7778,0,false,0.0501
24,AdjacencyMatrix,10,36,0.7500,0.8000,3651414704,V9,318,903,636.5556,0,false,0.0532
25,AdjacencyMatrix,10,36,0.7500,0.8000,2011579369,V9,81,381,189.0000,0,false,0.0717
26,AdjacencyMatrix,10,34,0.7500,0.7556,371761634,V9,269,594,400.8889,0,false,0.0679
27,AdjacencyMatrix,10,31,0.7500,0.6889,3027291095,V9,233,724,547.7778,0,false,0.0644
28,AdjacencyMatrix,10,38,0.7500,0.8444,1387994360,V9,41,635,276.6667,0,false,0.0577
29,AdjacencyMatrix,10,32,0.7500,0.7111,4043235521,V9,154,617,353.5556,0,false,0.0387
30,AdjacencyMatrix,10,37,0.7500,0.8222,2403464986,V9,215,644,346.5556,0,false,0.0657
31,AdjacencyMatrix,10,38,0.7500,0.8444,763694751,V9,22,847,297.0000,0,false,0.0559
32,AdjacencyMatrix,10,31,0.7500,0.6889,3418839912,V9,43,420,290.4444,0,false,0.0461
33,AdjacencyMatrix,10,32,0.7500,0.7111,1778998277,V9,51,390,242.4444,0,false,0.0635
34,AdjacencyMatrix,10,32,0.7500,0.7111,139173042,V9,219,828,361.3333,0,false,0.0468
35,AdjacencyMatrix,10,31,0.7500,0.6889,2794437503,V9,239,636,462.8889,0,false,0.0634
36,AdjacencyMatrix,10,34,0.7500,0.7556,1154961968,V9,67,726,411.8889,0,false,0.0432
37,AdjacencyMatrix,10,34,0.7500,0.7556,3810218429,V9,130,712,258.7778,0,false,0.0524
38,AdjacencyMatrix,10,29,0.7500,0.6444,2170550994,V9,98,774,549.8889,0,false,0.0444
39,AdjacencyMatrix,10,32,0.7500,0.7111,530720959,V9,62,615,356.5556,0,false,0.0387
40,AdjacencyMatrix,10,31,0.7500,0.6889,3185846420,V9,71,474,245.8889,0,false,0.0464
41,AdjacencyMatrix,10,36,0.7500,0.8000,1546011985,V9,376,882,557.4444,0,false,0.0518
42,AdjacencyMatrix,10,30,0.7500,0.6667,4201180246,V9,34,836,443.4444,0,false,0.0453
43,AdjacencyMatrix,10,34,0.7500,0.7556,2561334611,V9,93,528,331.1111,0,false,0.0689
44,AdjacencyMatrix,10,33,0.7500,0.7333,921680976,V9,166,735,475.6667,0,false,0.0682
45,AdjacencyMatrix,10,36,0.7500,0.8000,3577151437,V9,139,634,339.1111,0,false,0.0548
46,AdjacencyMatrix,10,33,0.7500,0.7333,1937581202,V9,55,480,189.7778,0,false,0.0591
47,AdjacencyMatrix,10,28,0.7500,0.6222,297838367,V9,72,642,322.0000,0,false,0.0347
48,AdjacencyMatrix,10,32,0.7500,0.7111,2952953528,V9,212,729,438.6667,0,false,0.0475
49,AdjacencyMatrix,10,29,0.7500,0.6444,1313110993,V9,101,644,336.5556,0,false,0.0365
50,AdjacencyMatrix,10,34,0.7500,0.7556,3968261254,V9,89,669,273.1111,0,false,0.0603
51,AdjacencyMatrix,10,34,0.7500,0.7556,2328436619,V9,111,566,328.8889,0,false,0.0420
52,AdjacencyMatrix,10,36,0.7500,0.8000,688604084,V9,446,823,687.2222,0,false,0.0623
53,AdjacencyMatrix,10,35,0.7500,0.7778,3344155345,V9,81,323,183.7778,0,false,0.0553
54,AdjacencyMatrix,10,33,0.7500,0.7333,1704493110,V9,431,806,559.4444,0,false,0.0688
55,AdjacencyMatrix,10,35,0.7500,0.7778,64793075,V9,43,698,333.5556,0,false,0.0612
56,AdjacencyMatrix,10,35,0.7500,0.7778,2719974036,V9,145,590,396.0000,0,false,0.0612
57,AdjacencyMatrix,10,37,0.7500,0.8222,1080151101,V9,71,429,209.7778,0,false,0.0539
